StateID,TemporalPropertyID,BinID,BinLow,BinHigh,BinLowScore
1,1,0,-inf,12.9,
2,1,1,12.9,25.8,
3,1,2,25.8,30.0,
4,1,3,30.0,inf,
5,2,0,-inf,9.9,
6,2,1,9.9,20.1,
7,2,2,20.1,30.0,
8,2,3,30.0,inf,
9,3,0,-inf,30.075,
10,3,1,30.075,60.1,
11,3,2,60.1,69.85,
12,3,3,69.85,inf,
13,4,0,-inf,28.0,
14,4,1,28.0,30.0,
15,4,2,30.0,50.8,
16,4,3,50.8,inf,
17,5,0,-inf,20.1,
18,5,1,20.1,39.9,
19,5,2,39.9,40.05,
20,5,3,40.05,inf,
21,6,0,-inf,28.0,
22,6,1,28.0,30.0,
23,6,2,30.0,56.0,
24,6,3,56.0,inf,
25,39,0,-inf,6.2,
26,39,1,6.2,6.9,
27,39,2,6.9,7.9,
28,39,3,7.9,inf,
29,40,0,-inf,88.0,
30,40,1,88.0,106.7,
31,40,2,106.7,128.0,
32,40,3,128.0,inf,
33,41,0,-inf,167.0,
34,41,1,167.0,190.0,
35,41,2,190.0,217.0,
36,41,3,217.0,inf,
37,42,0,-inf,102.0,
38,42,1,102.0,127.0,
39,42,2,127.0,156.0,
40,42,3,156.0,inf,
41,43,0,-inf,4.0,
42,43,1,4.0,4.2,
43,43,2,4.2,4.4,
44,43,3,4.4,inf,
45,44,0,-inf,0.73,
46,44,1,0.73,0.88,
47,44,2,0.88,1.02,
48,44,3,1.02,inf,
49,55,0,-inf,0.5,
50,55,1,0.5,inf,
