StateID,TemporalPropertyID,BinID,BinLow,BinHigh,BinLowScore
1,1,0,-inf,39.75,
2,1,1,39.75,inf,0.9748189482225676
3,2,0,-inf,20.1,
4,2,1,20.1,inf,0.0
5,3,0,-inf,30.0,
6,3,1,30.0,inf,0.0
7,4,0,-inf,24.0,
8,4,1,24.0,inf,0.0
9,5,0,-inf,20.1,
10,5,1,20.1,inf,1.0
11,6,0,-inf,21.5,
12,6,1,21.5,inf,0.0
13,39,0,-inf,7.7,
14,39,1,7.7,inf,0.9991935044724425
15,40,0,-inf,114.5,
16,40,1,114.5,inf,0.9996539193528471
17,41,0,-inf,211.5,
18,41,1,211.5,inf,0.9969383778125515
19,42,0,-inf,229.5,
20,42,1,229.5,inf,0.9999944182548252
21,43,0,-inf,4.0,
22,43,1,4.0,inf,0.9997717926569676
23,44,0,-inf,0.935,
24,44,1,0.935,inf,0.999654719455009
25,55,0,-inf,0.5,
26,55,1,0.5,inf,0.7071067811865475
