StateID,TemporalPropertyID,BinID,BinLow,BinHigh,BinLowScore
1,1,0,-inf,13.95,
2,1,1,13.95,20.0,0.7451923076923077
3,1,2,20.0,27.9,0.7451923076923077
4,1,3,27.9,inf,0.7451923076923077
5,2,0,-inf,20.1,
6,2,1,20.1,inf,0.0
7,3,0,-inf,30.0,
8,3,1,30.0,inf,0.0
9,4,0,-inf,24.0,
10,4,1,24.0,29.0,0.0
11,4,2,29.0,inf,0.0
12,5,0,-inf,20.1,
13,5,1,20.1,inf,0.0
14,6,0,-inf,21.5,
15,6,1,21.5,29.0,0.0
16,6,2,29.0,45.0,0.0
17,6,3,45.0,inf,0.0
18,39,0,-inf,6.0,
19,39,1,6.0,6.4,0.6785714285714286
20,39,2,6.4,9.25,0.6785714285714286
21,39,3,9.25,inf,0.4107142857142857
22,40,0,-inf,73.0,
23,40,1,73.0,86.5,0.8717948717948718
24,40,2,86.5,94.0,0.8717948717948718
25,40,3,94.0,inf,0.4967948717948718
26,41,0,-inf,147.5,
27,41,1,147.5,154.5,0.8415841584158416
28,41,2,154.5,182.0,0.4597659765976597
29,41,3,182.0,inf,0.8415841584158416
30,42,0,-inf,85.0,
31,42,1,85.0,169.5,0.43434343434343436
32,42,2,169.5,178.0,0.539462420818353
33,42,3,178.0,inf,0.539462420818353
34,43,0,-inf,3.8,
35,43,1,3.8,4.35,0.543859649122807
36,43,2,4.35,4.45,0.4385964912280702
37,43,3,4.45,inf,0.543859649122807
38,44,0,-inf,0.885,
39,44,1,0.885,1.05,0.31953320366768545
40,44,2,1.05,1.125,0.23659349819394274
41,44,3,1.125,inf,0.31953320366768545
42,55,0,-inf,0.5,
43,55,1,0.5,inf,0.5
