StateID,TemporalPropertyID,BinID,BinLow,BinHigh,BinLowScore
1,1,0,-inf,26.0,
2,1,1,26.0,37.0,
3,1,2,37.0,54.0,
4,1,3,54.0,82.0,
5,1,4,82.0,inf,
6,2,0,-inf,26.0,
7,2,1,26.0,43.0,
8,2,2,43.0,68.0,
9,2,3,68.0,110.0,
10,2,4,110.0,inf,
11,3,0,-inf,165.0,
12,3,1,165.0,254.0,
13,3,2,254.0,343.0,
14,3,3,343.0,406.0,
15,3,4,406.0,inf,
16,4,0,-inf,6.9,
17,4,1,6.9,7.2,
18,4,2,7.2,7.4378571428571405,
19,4,3,7.4378571428571405,7.8,
20,4,4,7.8,inf,
21,5,0,-inf,99.0,
22,5,1,99.0,133.0,
23,5,2,133.0,168.0,
24,5,3,168.0,219.5,
25,5,4,219.5,inf,
26,6,0,-inf,4.0,
27,6,1,4.0,4.2,
28,6,2,4.2,4.4,
29,6,3,4.4,4.6,
30,6,4,4.6,inf,
31,7,0,-inf,0.5,
32,7,1,0.5,0.6,
33,7,2,0.6,0.8,
34,7,3,0.8,1.0,
35,7,4,1.0,inf,
36,8,0,-inf,0.10500000000000001,
37,8,1,0.10500000000000001,0.2045454545454545,
38,8,2,0.2045454545454545,0.3035714285714285,
39,8,3,0.3035714285714285,0.40125,
40,8,4,0.40125,inf,
41,9,0,-inf,0.4,
42,9,1,0.4,0.5,
43,9,2,0.5,0.6,
44,9,3,0.6,0.7,
45,9,4,0.7,inf,
46,10,0,-inf,4.0,
47,10,1,4.0,4.7,
48,10,2,4.7,5.4,
49,10,3,5.4,6.1,
50,10,4,6.1,inf,
51,61,0,-inf,0.5,
52,61,1,0.5,inf,
