StateID,TemporalPropertyID,BinID,BinLow,BinHigh,BinLowScore
1,44,0,-inf,5.2666666666666675,
2,44,1,5.2666666666666675,10.333333333333334,
3,44,2,10.333333333333334,inf,
4,55,0,-inf,0.3333333333333333,
5,55,1,0.3333333333333333,0.6666666666666666,
6,55,2,0.6666666666666666,inf,
7,1,0,-inf,81.08666666666667,
8,1,1,81.08666666666667,161.74333333333334,
9,1,2,161.74333333333334,inf,
10,5,0,-inf,167.14666666666665,
11,5,1,167.14666666666665,333.62333333333333,
12,5,2,333.62333333333333,inf,
13,39,0,-inf,76.83333333333333,
14,39,1,76.83333333333333,149.76666666666665,
15,39,2,149.76666666666665,inf,
16,40,0,-inf,111.33332999999999,
17,40,1,111.33332999999999,219.86666,
18,40,2,219.86666,inf,
19,41,0,-inf,228.33333333333334,
20,41,1,228.33333333333334,392.6666666666667,
21,41,2,392.6666666666667,inf,
22,42,0,-inf,503.0,
23,42,1,503.0,978.0,
24,42,2,978.0,inf,
25,43,0,-inf,3.2666666666666666,
26,43,1,3.2666666666666666,4.533333333333333,
27,43,2,4.533333333333333,inf,
28,2,0,-inf,80.02,
29,2,1,80.02,159.71,
30,2,2,159.71,inf,
31,3,0,-inf,90.66666666666667,
32,3,1,90.66666666666667,180.33333333333334,
33,3,2,180.33333333333334,inf,
34,4,0,-inf,126.06666666666666,
35,4,1,126.06666666666666,251.63333333333333,
36,4,2,251.63333333333333,inf,
37,6,0,-inf,126.17333333333333,
38,6,1,126.17333333333333,249.84666666666666,
39,6,2,249.84666666666666,inf,
