StateID,TemporalPropertyID,Method,BinID,BinLow,BinHigh,BinLowScore
1.0,1,gradient,0,-90,-10,
2.0,1,gradient,1,-10,10,
3.0,1,gradient,2,10,90,
4.0,2,gradient,0,-90,-10,
5.0,2,gradient,1,-10,10,
6.0,2,gradient,2,10,90,
7.0,3,gradient,0,-90,-10,
8.0,3,gradient,1,-10,10,
9.0,3,gradient,2,10,90,
10.0,4,gradient,0,-90,-10,
11.0,4,gradient,1,-10,10,
12.0,4,gradient,2,10,90,
13.0,5,gradient,0,-90,-10,
14.0,5,gradient,1,-10,10,
15.0,5,gradient,2,10,90,
16.0,6,gradient,0,-90,-10,
17.0,6,gradient,1,-10,10,
18.0,6,gradient,2,10,90,
19.0,39,gradient,0,-90,-10,
20.0,39,gradient,1,-10,10,
21.0,39,gradient,2,10,90,
22.0,40,gradient,0,-90,-10,
23.0,40,gradient,1,-10,10,
24.0,40,gradient,2,10,90,
25.0,41,gradient,0,-90,-10,
26.0,41,gradient,1,-10,10,
27.0,41,gradient,2,10,90,
28.0,42,gradient,0,-90,-10,
29.0,42,gradient,1,-10,10,
30.0,42,gradient,2,10,90,
31.0,43,gradient,0,-90,-10,
32.0,43,gradient,1,-10,10,
33.0,43,gradient,2,10,90,
34.0,44,gradient,0,-90,-10,
35.0,44,gradient,1,-10,10,
36.0,44,gradient,2,10,90,
