StateID,TemporalPropertyID,BinID,BinLow,BinHigh,BinLowScore
1,44,0,-inf,0.89,
2,44,1,0.89,inf,
3,55,0,-inf,1.0,
4,55,1,1.0,inf,
5,1,0,-inf,25.8,
6,1,1,25.8,inf,
7,5,0,-inf,39.9,
8,5,1,39.9,inf,
9,39,0,-inf,6.9,
10,39,1,6.9,inf,
11,40,0,-inf,107.75,
12,40,1,107.75,inf,
13,41,0,-inf,191.0,
14,41,1,191.0,inf,
15,42,0,-inf,130.0,
16,42,1,130.0,inf,
17,43,0,-inf,4.2,
18,43,1,4.2,inf,
19,2,0,-inf,20.1,
20,2,1,20.1,inf,
21,3,0,-inf,30.0,
22,3,1,30.0,inf,
23,4,0,-inf,30.0,
24,4,1,30.0,inf,
25,6,0,-inf,30.0,
26,6,1,30.0,inf,
