StateID,TemporalPropertyID,BinID,BinLow,BinHigh,BinLowScore
1,1,0,-inf,15.0,
2,1,1,15.0,25.8,
3,1,2,25.8,inf,
4,2,0,-inf,15.0,
5,2,1,15.0,20.1,
6,2,2,20.1,inf,
7,3,0,-inf,30.025,
8,3,1,30.025,60.15,
9,3,2,60.15,inf,
10,4,0,-inf,30.0,
11,4,1,30.0,33.75,
12,4,2,33.75,inf,
13,5,0,-inf,30.0,
14,5,1,30.0,39.9,
15,5,2,39.9,inf,
16,6,0,-inf,30.0,
17,6,1,30.0,45.0,
18,6,2,45.0,inf,
19,39,0,-inf,6.5,
20,39,1,6.5,7.5,
21,39,2,7.5,inf,
22,40,0,-inf,95.0,
23,40,1,95.0,120.0,
24,40,2,120.0,inf,
25,41,0,-inf,175.0,
26,41,1,175.0,208.0,
27,41,2,208.0,inf,
28,42,0,-inf,111.0,
29,42,1,111.0,146.0,
30,42,2,146.0,inf,
31,43,0,-inf,4.1,
32,43,1,4.1,4.3,
33,43,2,4.3,inf,
34,44,0,-inf,0.795,
35,44,1,0.795,0.98,
36,44,2,0.98,inf,
37,55,0,-inf,0.0,
38,55,1,0.0,1.0,
39,55,2,1.0,inf,
