StateID,TemporalPropertyID,Method,BinID,BinLow,BinHigh
1.0,1,knowledge-based,0,0.43,81.08666667
2.0,1,knowledge-based,1,81.08666667,161.74333330000002
3.0,1,knowledge-based,2,161.74333330000002,242.4
4.0,2,knowledge-based,0,0.33,80.02
5.0,2,knowledge-based,1,80.02,159.71
6.0,2,knowledge-based,2,159.71,239.4
7.0,3,knowledge-based,0,1.0,90.66666667
8.0,3,knowledge-based,1,90.66666667,180.33333330000002
9.0,3,knowledge-based,2,180.33333330000002,270.0
10.0,4,knowledge-based,0,0.5,126.06666670000001
11.0,4,knowledge-based,1,126.06666670000001,251.6333333
12.0,4,knowledge-based,2,251.6333333,377.2
13.0,5,knowledge-based,0,0.67,167.1466667
14.0,5,knowledge-based,1,167.1466667,333.6233333
15.0,5,knowledge-based,2,333.6233333,500.1
16.0,6,knowledge-based,0,2.5,126.17333329999998
17.0,6,knowledge-based,1,126.17333329999998,249.8466667
18.0,6,knowledge-based,2,249.8466667,373.52
19.0,39,knowledge-based,0,3.9,7.0
20.0,39,knowledge-based,1,7.0,9.0
21.0,39,knowledge-based,2,9.0,10.5
22.0,39,knowledge-based,3,10.5,222.7
23.0,40,knowledge-based,0,2.8,100.0
24.0,40,knowledge-based,1,100.0,130.0
25.0,40,knowledge-based,2,130.0,160.0
26.0,40,knowledge-based,3,160.0,328.39999
27.0,41,knowledge-based,0,64.0,200.0
28.0,41,knowledge-based,1,200.0,240.0
29.0,41,knowledge-based,2,240.0,557.0
30.0,42,knowledge-based,0,28.0,100.0
31.0,42,knowledge-based,1,100.0,125.0
32.0,42,knowledge-based,2,125.0,200.0
33.0,42,knowledge-based,3,200.0,1453.0
34.0,43,knowledge-based,0,2.0,3.5
35.0,43,knowledge-based,1,3.5,5.8
36.0,44,knowledge-based,0,0.2,1.0
37.0,44,knowledge-based,1,1.0,1.5
38.0,44,knowledge-based,2,1.5,2.5
39.0,44,knowledge-based,3,2.5,4.0
40.0,44,knowledge-based,4,4.0,15.4
