StateID,TemporalPropertyID,Method,BinID,BinLow,BinHigh
1,1,knowledge-based,0,0.43,81.08666667
2,1,knowledge-based,1,81.08666667,161.7433333
3,1,knowledge-based,2,161.7433333,242.4
4,2,knowledge-based,0,0.33,80.02
5,2,knowledge-based,1,80.02,159.71
6,2,knowledge-based,2,159.71,239.4
7,3,knowledge-based,0,1,90.66666667
8,3,knowledge-based,1,90.66666667,180.3333333
9,3,knowledge-based,2,180.3333333,270
10,4,knowledge-based,0,0.5,126.0666667
11,4,knowledge-based,1,126.0666667,251.6333333
12,4,knowledge-based,2,251.6333333,377.2
13,5,knowledge-based,0,0.67,167.1466667
14,5,knowledge-based,1,167.1466667,333.6233333
15,5,knowledge-based,2,333.6233333,500.1
16,6,knowledge-based,0,2.5,126.1733333
17,6,knowledge-based,1,126.1733333,249.8466667
18,6,knowledge-based,2,249.8466667,373.52
19,39,knowledge-based,0,3.9,7
20,39,knowledge-based,1,7,9
21,39,knowledge-based,2,9,10.5
22,39,knowledge-based,3,10.5,222.7
23,40,knowledge-based,0,2.8,100
24,40,knowledge-based,1,100,130
25,40,knowledge-based,2,130,160
26,40,knowledge-based,3,160,328.39999
27,41,knowledge-based,0,64,200
28,41,knowledge-based,1,200,240
29,41,knowledge-based,2,240,557
30,42,knowledge-based,0,28,100
31,42,knowledge-based,1,100,125
32,42,knowledge-based,2,125,200
33,42,knowledge-based,3,200,1453
34,43,knowledge-based,0,2,3.5
35,43,knowledge-based,1,3.5,5.8
36,44,knowledge-based,0,0.2,1
37,44,knowledge-based,1,1,1.5
38,44,knowledge-based,2,1.5,2.5
39,44,knowledge-based,3,2.5,4
40,44,knowledge-based,4,4,15.4
