StateID,TemporalPropertyID,BinID,BinLow,BinHigh,BinLowScore
1,44,0,-inf,0.8,
2,44,1,0.8,0.99,
3,44,2,0.99,inf,
4,55,0,-inf,0.0,
5,55,1,0.0,1.0,
6,55,2,1.0,inf,
7,1,0,-inf,15.0,
8,1,1,15.0,25.8,
9,1,2,25.8,inf,
10,5,0,-inf,30.0,
11,5,1,30.0,39.9,
12,5,2,39.9,inf,
13,39,0,-inf,6.5,
14,39,1,6.5,7.5,
15,39,2,7.5,inf,
16,40,0,-inf,95.0,
17,40,1,95.0,122.0,
18,40,2,122.0,inf,
19,41,0,-inf,175.0,
20,41,1,175.0,210.0,
21,41,2,210.0,inf,
22,42,0,-inf,113.0,
23,42,1,113.0,149.0,
24,42,2,149.0,inf,
25,43,0,-inf,4.1,
26,43,1,4.1,4.3,
27,43,2,4.3,inf,
28,2,0,-inf,15.0,
29,2,1,15.0,20.1,
30,2,2,20.1,inf,
31,3,0,-inf,30.075,
32,3,1,30.075,60.1,
33,3,2,60.1,inf,
34,4,0,-inf,30.0,
35,4,1,30.0,37.5,
36,4,2,37.5,inf,
37,6,0,-inf,30.0,
38,6,1,30.0,56.0,
39,6,2,56.0,inf,
