StateID,TemporalPropertyID,BinID,BinLow,BinHigh,BinLowScore
1,753626,0,-inf,101.45162604999999,
2,753626,1,101.45162604999999,inf,
3,1234567,0,-inf,3.15429024,
4,1234567,1,3.15429024,inf,
5,3000963,0,-inf,9.75,
6,3000963,1,9.75,inf,
7,3003282,0,-inf,9.5,
8,3003282,1,9.5,inf,
9,3004249,0,-inf,120.0,
10,3004249,1,120.0,inf,
11,3004501,0,-inf,121.0,
12,3004501,1,121.0,inf,
13,3005456,0,-inf,4.0,
14,3005456,1,4.0,inf,
15,3007220,0,-inf,156.5,
16,3007220,1,156.5,inf,
17,3010421,0,-inf,7.4,
18,3010421,1,7.4,inf,
19,3011904,0,-inf,3.2,
20,3011904,1,3.2,inf,
21,3012501,0,-inf,0.0,
22,3012501,1,0.0,inf,
23,3012888,0,-inf,60.0,
24,3012888,1,60.0,inf,
25,3013290,0,-inf,41.0,
26,3013290,1,41.0,inf,
27,3013502,0,-inf,96.0,
28,3013502,1,96.0,inf,
29,3013682,0,-inf,23.0,
30,3013682,1,23.0,inf,
31,3014080,0,-inf,4.0,
32,3014080,1,4.0,inf,
33,3014576,0,-inf,104.0,
34,3014576,1,104.0,inf,
35,3015377,0,-inf,8.3,
36,3015377,1,8.3,inf,
37,3016226,0,-inf,5.0,
38,3016226,1,5.0,inf,
39,3016293,0,-inf,25.0,
40,3016293,1,25.0,inf,
41,3016436,0,-inf,285.5,
42,3016436,1,285.5,inf,
43,3016502,0,-inf,97.0,
44,3016502,1,97.0,inf,
45,3016723,0,-inf,1.0,
46,3016723,1,1.0,inf,
47,3017594,0,-inf,410.0,
48,3017594,1,410.0,inf,
49,3020716,0,-inf,40.0,
50,3020716,1,40.0,inf,
51,3020891,0,-inf,36.8333333333333,
52,3020891,1,36.8333333333333,inf,
53,3021119,0,-inf,1.12,
54,3021119,1,1.12,inf,
55,3022217,0,-inf,1.3,
56,3022217,1,1.3,inf,
57,3023103,0,-inf,3.9,
58,3023103,1,3.9,inf,
59,3024128,0,-inf,1.1,
60,3024128,1,1.1,inf,
61,3024171,0,-inf,19.0,
62,3024171,1,19.0,inf,
63,3024629,0,-inf,150.0,
64,3024629,1,150.0,inf,
65,3024929,0,-inf,179.0,
66,3024929,1,179.0,inf,
67,3027018,0,-inf,84.0,
68,3027018,1,84.0,inf,
69,3027315,0,-inf,96.0,
70,3027315,1,96.0,inf,
71,3027598,0,-inf,77.0,
72,3027598,1,77.0,inf,
73,3028354,0,-inf,8.0,
74,3028354,1,8.0,inf,
75,3034962,0,-inf,137.0,
76,3034962,1,137.0,inf,
77,3037278,0,-inf,13.0,
78,3037278,1,13.0,inf,
79,3047181,0,-inf,1.5,
80,3047181,1,1.5,inf,
81,21490650,0,-inf,16.0,
82,21490650,1,16.0,inf,
83,21490753,0,-inf,9.0,
84,21490753,1,9.0,inf,
85,21490854,0,-inf,450.0,
86,21490854,1,450.0,inf,
