StateID,TemporalPropertyID,BinID,BinLow,BinHigh,BinLowScore
1,1,0,-inf,134.625,
2,1,1,134.625,142.64999999999998,-0.000671443374645205
3,1,2,142.64999999999998,inf,-0.0007002754858555589
4,2,0,-inf,3.9000000000000004,
5,2,1,3.9000000000000004,89.85,-0.0005619100903725065
6,2,2,89.85,inf,-0.0008171456313335831
7,3,0,-inf,165.0,
8,3,1,165.0,230.0,-0.00029099892930167093
9,3,2,230.0,inf,-8.149847993541676e-05
10,4,0,-inf,210.4,
11,4,1,210.4,271.95,-0.000479649556253092
12,4,2,271.95,inf,-0.00022349998940202523
13,5,0,-inf,9.95,
14,5,1,9.95,255.125,-0.00015303962481389403
15,5,2,255.125,inf,-0.0002353435107672568
16,6,0,-inf,240.15,
17,6,1,240.15,284.0,-0.0003537558762480929
18,6,2,284.0,inf,-0.00042314354398309507
19,39,0,-inf,16.21,
20,39,1,16.21,216.1,-5.45346391245544e-06
21,39,2,216.1,inf,-3.171143204254064e-07
22,40,0,-inf,46.0,
23,40,1,46.0,197.2,-7.121580870171048e-05
24,40,2,197.2,inf,-0.00010070058131366763
25,41,0,-inf,320.5,
26,41,1,320.5,345.0,-4.2674284485244964e-05
27,41,2,345.0,inf,-2.9680339902391593e-05
28,42,0,-inf,356.149995,
29,42,1,356.149995,389.5,-0.00011068766683757403
30,42,2,389.5,inf,-0.00010674300201274847
31,43,0,-inf,5.4,
32,43,1,5.4,5.65,-2.0307008324278867e-06
33,43,2,5.65,inf,-1.7656449559958801e-06
34,44,0,-inf,3.9850000000000003,
35,44,1,3.9850000000000003,5.875,-1.249527865325806e-05
36,44,2,5.875,inf,-8.030726175677258e-06
37,55,0,-inf,0.5,
38,55,1,0.5,inf,-0.13190346976751322
