StateID,TemporalPropertyID,BinID,BinLow,BinHigh,BinLowScore
1,1,0,-inf,60.9225,
2,1,1,60.9225,121.415,
3,1,2,121.415,181.9075,
4,1,3,181.9075,inf,
5,2,0,-inf,60.0975,
6,2,1,60.0975,119.865,
7,2,2,119.865,179.63250000000002,
8,2,3,179.63250000000002,inf,
9,3,0,-inf,68.25,
10,3,1,68.25,135.5,
11,3,2,135.5,202.75,
12,3,3,202.75,inf,
13,4,0,-inf,94.675,
14,4,1,94.675,188.85,
15,4,2,188.85,283.025,
16,4,3,283.025,inf,
17,5,0,-inf,125.5275,
18,5,1,125.5275,250.385,
19,5,2,250.385,375.2425,
20,5,3,375.2425,inf,
21,6,0,-inf,95.255,
22,6,1,95.255,188.01,
23,6,2,188.01,280.765,
24,6,3,280.765,inf,
25,39,0,-inf,58.599999999999994,
26,39,1,58.599999999999994,113.3,
27,39,2,113.3,168.0,
28,39,3,168.0,inf,
29,40,0,-inf,84.1999975,
30,40,1,84.1999975,165.599995,
31,40,2,165.599995,246.99999250000002,
32,40,3,246.99999250000002,inf,
33,41,0,-inf,187.25,
34,41,1,187.25,310.5,
35,41,2,310.5,433.75,
36,41,3,433.75,inf,
37,42,0,-inf,384.25,
38,42,1,384.25,740.5,
39,42,2,740.5,1096.75,
40,42,3,1096.75,inf,
41,43,0,-inf,2.95,
42,43,1,2.95,3.9,
43,43,2,3.9,4.85,
44,43,3,4.85,inf,
45,44,0,-inf,4.0,
46,44,1,4.0,7.800000000000001,
47,44,2,7.800000000000001,11.6,
48,44,3,11.6,inf,
49,55,0,-inf,0.25,
50,55,1,0.25,0.5,
51,55,2,0.5,0.75,
52,55,3,0.75,inf,
