StateID,TemporalPropertyID,BinID,BinLow,BinHigh,BinLowScore
1,1,0,-inf,25.8,
2,1,1,25.8,inf,
3,2,0,-inf,20.1,
4,2,1,20.1,inf,
5,3,0,-inf,30.0,
6,3,1,30.0,inf,
7,4,0,-inf,30.0,
8,4,1,30.0,inf,
9,5,0,-inf,39.9,
10,5,1,39.9,inf,
11,6,0,-inf,30.0,
12,6,1,30.0,inf,
13,39,0,-inf,6.9,
14,39,1,6.9,inf,
15,40,0,-inf,108.0,
16,40,1,108.0,inf,
17,41,0,-inf,192.0,
18,41,1,192.0,inf,
19,42,0,-inf,131.0,
20,42,1,131.0,inf,
21,43,0,-inf,4.2,
22,43,1,4.2,inf,
23,44,0,-inf,0.89,
24,44,1,0.89,inf,
25,55,0,-inf,1.0,
26,55,1,1.0,inf,
