StateID,TemporalPropertyID,BinID,BinLow,BinHigh,BinLowScore
1,1,0,-inf,60.975,
2,1,1,60.975,121.45,
3,1,2,121.45,181.925,
4,1,3,181.925,inf,
5,2,0,-inf,40.147499999999994,
6,2,1,40.147499999999994,79.96499999999999,
7,2,2,79.96499999999999,119.78249999999998,
8,2,3,119.78249999999998,inf,
9,3,0,-inf,60.75,
10,3,1,60.75,120.5,
11,3,2,120.5,180.25,
12,3,3,180.25,inf,
13,4,0,-inf,77.85,
14,4,1,77.85,155.2,
15,4,2,155.2,232.54999999999998,
16,4,3,232.54999999999998,inf,
17,5,0,-inf,93.015,
18,5,1,93.015,185.35999999999999,
19,5,2,185.35999999999999,277.705,
20,5,3,277.705,inf,
21,6,0,-inf,81.975,
22,6,1,81.975,161.45,
23,6,2,161.45,240.92499999999998,
24,6,3,240.92499999999998,inf,
25,39,0,-inf,58.599999999999994,
26,39,1,58.599999999999994,113.3,
27,39,2,113.3,168.0,
28,39,3,168.0,inf,
29,40,0,-inf,84.1999975,
30,40,1,84.1999975,165.599995,
31,40,2,165.599995,246.99999250000002,
32,40,3,246.99999250000002,inf,
33,41,0,-inf,187.25,
34,41,1,187.25,310.5,
35,41,2,310.5,433.75,
36,41,3,433.75,inf,
37,42,0,-inf,224.5,
38,42,1,224.5,417.0,
39,42,2,417.0,609.5,
40,42,3,609.5,inf,
41,43,0,-inf,2.95,
42,43,1,2.95,3.9,
43,43,2,3.9,4.85,
44,43,3,4.85,inf,
45,44,0,-inf,3.1625000000000005,
46,44,1,3.1625000000000005,6.125000000000001,
47,44,2,6.125000000000001,9.0875,
48,44,3,9.0875,inf,
49,55,0,-inf,0.25,
50,55,1,0.25,0.5,
51,55,2,0.5,0.75,
52,55,3,0.75,inf,
