StateID,TemporalPropertyID,BinID,BinLow,BinHigh,BinLowScore
1,44,0,-inf,7.800000000000001,
2,44,1,7.800000000000001,inf,
3,55,0,-inf,0.5,
4,55,1,0.5,inf,
5,1,0,-inf,121.415,
6,1,1,121.415,inf,
7,5,0,-inf,250.385,
8,5,1,250.385,inf,
9,39,0,-inf,113.3,
10,39,1,113.3,inf,
11,40,0,-inf,165.599995,
12,40,1,165.599995,inf,
13,41,0,-inf,310.5,
14,41,1,310.5,inf,
15,42,0,-inf,740.5,
16,42,1,740.5,inf,
17,43,0,-inf,3.9,
18,43,1,3.9,inf,
19,2,0,-inf,119.865,
20,2,1,119.865,inf,
21,3,0,-inf,135.5,
22,3,1,135.5,inf,
23,4,0,-inf,188.85,
24,4,1,188.85,inf,
25,6,0,-inf,188.01,
26,6,1,188.01,inf,
