StateID,TemporalPropertyID,Method,BinID,BinLow,BinHigh,BinLowScore
41,1,gradient,0,-90,-10,
42,1,gradient,1,-10,10,
43,1,gradient,2,10,90,
44,2,gradient,0,-90,-10,
45,2,gradient,1,-10,10,
46,2,gradient,2,10,90,
47,3,gradient,0,-90,-10,
48,3,gradient,1,-10,10,
49,3,gradient,2,10,90,
50,4,gradient,0,-90,-10,
51,4,gradient,1,-10,10,
52,4,gradient,2,10,90,
53,5,gradient,0,-90,-10,
54,5,gradient,1,-10,10,
55,5,gradient,2,10,90,
56,6,gradient,0,-90,-10,
57,6,gradient,1,-10,10,
58,6,gradient,2,10,90,
59,39,gradient,0,-90,-10,
60,39,gradient,1,-10,10,
61,39,gradient,2,10,90,
62,40,gradient,0,-90,-10,
63,40,gradient,1,-10,10,
64,40,gradient,2,10,90,
65,41,gradient,0,-90,-10,
66,41,gradient,1,-10,10,
67,41,gradient,2,10,90,
68,42,gradient,0,-90,-10,
69,42,gradient,1,-10,10,
70,42,gradient,2,10,90,
71,43,gradient,0,-90,-10,
72,43,gradient,1,-10,10,
73,43,gradient,2,10,90,
74,44,gradient,0,-90,-10,
75,44,gradient,1,-10,10,
76,44,gradient,2,10,90,
