StateID,TemporalPropertyID,Method,BinID,BinLow,BinHigh
1,1,knowledge-based,0,0.43,81.08666667
2,1,knowledge-based,1,81.08666667,161.7433333
3,1,knowledge-based,2,161.7433333,242.4
4,1,gradient,0,-90,-10
5,1,gradient,1,-10,10
6,1,gradient,2,10,90
7,2,knowledge-based,0,0.33,80.02
8,2,knowledge-based,1,80.02,159.71
9,2,knowledge-based,2,159.71,239.4
10,2,gradient,0,-90,-10
11,2,gradient,1,-10,10
12,2,gradient,2,10,90
13,3,knowledge-based,0,1,90.66666667
14,3,knowledge-based,1,90.66666667,180.3333333
15,3,knowledge-based,2,180.3333333,270
16,3,gradient,0,-90,-10
17,3,gradient,1,-10,10
18,3,gradient,2,10,90
19,4,knowledge-based,0,0.5,126.0666667
20,4,knowledge-based,1,126.0666667,251.6333333
21,4,knowledge-based,2,251.6333333,377.2
22,4,gradient,0,-90,-10
23,4,gradient,1,-10,10
24,4,gradient,2,10,90
25,5,knowledge-based,0,0.67,167.1466667
26,5,knowledge-based,1,167.1466667,333.6233333
27,5,knowledge-based,2,333.6233333,500.1
28,5,gradient,0,-90,-10
29,5,gradient,1,-10,10
30,5,gradient,2,10,90
31,6,knowledge-based,0,2.5,126.1733333
32,6,knowledge-based,1,126.1733333,249.8466667
33,6,knowledge-based,2,249.8466667,373.52
34,6,gradient,0,-90,-10
35,6,gradient,1,-10,10
36,6,gradient,2,10,90
37,39,knowledge-based,0,3.9,7
38,39,knowledge-based,1,7,9
39,39,knowledge-based,2,9,10.5
40,39,knowledge-based,3,10.5,222.7
41,39,gradient,0,-90,-10
42,39,gradient,1,-10,10
43,39,gradient,2,10,90
44,40,knowledge-based,0,2.8,100
45,40,knowledge-based,1,100,130
46,40,knowledge-based,2,130,160
47,40,knowledge-based,3,160,328.39999
48,40,gradient,0,-90,-10
49,40,gradient,1,-10,10
50,40,gradient,2,10,90
51,41,knowledge-based,0,64,200
52,41,knowledge-based,1,200,240
53,41,knowledge-based,2,240,557
54,41,gradient,0,-90,-10
55,41,gradient,1,-10,10
56,41,gradient,2,10,90
57,42,knowledge-based,0,28,100
58,42,knowledge-based,1,100,125
59,42,knowledge-based,2,125,200
60,42,knowledge-based,3,200,1453
61,42,gradient,0,-90,-10
62,42,gradient,1,-10,10
63,42,gradient,2,10,90
64,43,knowledge-based,0,2,3.5
65,43,knowledge-based,1,3.5,5.8
66,43,gradient,0,-90,-10
67,43,gradient,1,-10,10
68,43,gradient,2,10,90
69,44,knowledge-based,0,0.2,1
70,44,knowledge-based,1,1,1.5
71,44,knowledge-based,2,1.5,2.5
72,44,knowledge-based,3,2.5,4
73,44,knowledge-based,4,4,15.4
74,44,gradient,0,-90,-10
75,44,gradient,1,-10,10
76,44,gradient,2,10,90
