StateID,TemporalPropertyID,BinID,BinLow,BinHigh,BinLowScore
1,39,0,-inf,7.05,
2,39,1,7.05,7.7,0.9996705672493992
3,39,2,7.7,8.05,0.9962486222649443
4,39,3,8.05,inf,0.9999589003116934
5,39,0,-inf,6.803322832534471,
6,39,1,6.803322832534471,7.880661157024792,
7,39,2,7.880661157024792,8.957999481515113,
8,39,3,8.957999481515113,inf,
9,39,0,-inf,6.0,
10,39,1,6.0,6.4,1.2127500887360474
11,39,2,6.4,9.25,0.5811158380314033
12,39,3,9.25,9.73,0.7752960528993684
13,39,4,9.73,inf,1.027681345169846
14,39,0,-inf,6.0,
15,39,1,6.0,inf,0.9960055225466989
